Klucz obszaru sprzedaży,Region Obszaru Sprzedaży,Kraj,Kontynent,Flagi
1.0,Północnozachodni,USA,Ameryka Północna,https://cdn-icons-png.flaticon.com/512/323/323310.png
2.0,Północnowschodni,USA,Ameryka Północna,https://cdn-icons-png.flaticon.com/512/323/323310.png
3.0,Centralny,USA,Ameryka Północna,https://cdn-icons-png.flaticon.com/512/323/323310.png
4.0,Południowozachodni,USA,Ameryka Północna,https://cdn-icons-png.flaticon.com/512/323/323310.png
5.0,Południowowschodni,USA,Ameryka Północna,https://cdn-icons-png.flaticon.com/512/323/323310.png
6.0,Kanada,Kanada,Ameryka Północna,https://cdn-icons-png.flaticon.com/512/197/197430.png
7.0,Francja,Francja,Europa,https://cdn-icons-png.flaticon.com/512/197/197560.png
8.0,Niemcy,Niemcy,Europa,https://cdn-icons-png.flaticon.com/512/323/323332.png
9.0,Australia,Australia,Australia,https://cdn-icons-png.flaticon.com/512/323/323367.png
10.0,Wielka Brytania,Wielka Brytania,Europa,https://cdn-icons-png.flaticon.com/512/323/323329.png
